Coarse Sieve,Weight Retained Kg,Commulative WR %,Passing %
3 in,0.91,3.64,96.36
2.5 in,1.65,10.24,89.76
1.5 in,11.28,55.36,44.64
1 in,4.8,74.56,25.44
0.75 in,3.12,87.04,12.96
0.5 in,1.95,94.84,5.16
PAN,0.41,96.48,3.52
