Coarse Sieve,Weight Retained Kg,Commulative WR %,Passing %
3 in,0.95,3.8,96.2
2.5 in,2.21,12.64,87.36
1.5 in,10.61,55.08,44.92
1 in,4.54,73.24,26.76
0.75 in,3.36,86.68,13.32
0.5 in,2.19,95.44,4.56
PAN,0.35,96.84,3.16
