Coarse Sieve,Weight Retained Kg,Commulative WR %,Passing %
3 in,1.33,5.32,94.68
2.5 in,2.11,13.77,86.23
1.5 in,10.84,57.14,42.86
1 in,4.52,75.22,24.78
0.75 in,3.69,89.99,10.01
0.5 in,2.17,98.68,1.32
PAN,0.33,100.0,0.0
