Coarse Sieve,Weight Retained Kg,Commulative WR %,Passing %
3 in,0.57,2.28,97.72
2.5 in,1.56,8.52,91.48
1.5 in,10.91,52.72,47.28
1 in,4.55,70.92,29.08
0.75 in,3.82,86.2,13.8
0.5 in,2.24,95.16,4.84
PAN,0.34,95.96,4.04
